occurrences,term
149,where do
149,to turn
149,your best
149,it down
149,should follow
149,really really
149,be out
149,wow that
148,tweet about
148,love her
148,who do
148,me love
148,try and
148,luck to
148,re gonna
148,thing about
148,see us
148,in row
148,ll do
148,people and
148,start to
148,the ones
148,the kind
148,could get
148,the bar
148,always have
148,week and
148,good stuff
147,many times
147,great show
147,your phone
147,see ya
147,have had
147,your email
147,you we
147,and when
147,they get
147,because we
147,yeah that
147,came to
147,come by
147,who would
147,my dog
147,is making
147,on at
147,all those
147,is crazy
147,me like
147,thing that
147,but im
147,so if
146,my job
146,tonight for
146,to like
146,it better
146,two days
146,one for
146,get home
146,other than
146,in case
146,know of
146,to create
146,new album
146,the place
146,tomorrow at
146,middle of
146,great night
146,you enjoy
146,remember when
146,god for
146,were you
145,not gonna
145,very nice
145,give us
145,matter how
145,the problem
145,us we
145,my followers
145,show on
145,years of
145,very excited
145,when she
145,not on
145,my little
145,by my
145,was fun
145,thanks and
145,show is
145,have time
145,go away
145,try it
145,los angeles
145,just one
145,just say
145,in person
144,love him
144,to speak
144,so nice
144,you both
144,difference between
144,you more
144,get them
144,the site
144,reason to
144,heard of
144,you tell
144,what good
144,email me
144,just heard
144,game tonight
144,rt what
144,want me
144,picked up
144,he does
144,for work
144,are getting
143,are some
143,to just
143,but in
143,it happen
143,at night
143,can just
143,late to
143,was thinking
143,in miami
143,get an
143,me about
143,today but
143,the country
143,good news
143,please tell
143,oh you
143,other day
143,in here
142,you give
142,you today
142,is having
142,is beautiful
142,know your
142,and thank
142,with their
142,if anyone
142,ll make
142,happy monday
142,will come
142,and yes
142,bad for
142,me my
142,to become
142,but just
142,pay for
142,that last
142,of love
142,your welcome
142,just can
142,join the
142,it an
142,down on
142,right to
141,to save
141,all good
141,for someone
141,no doubt
141,living in
141,and her
141,get into
141,will go
141,up there
141,the playoffs
141,nothing but
141,to connect
141,is such
141,want some
141,start the
141,today it
141,my boyfriend
141,re still
141,when will
141,work at
141,never know
141,what an
141,brand new
140,in boston
140,come and
140,you made
140,for people
140,say the
140,life and
140,they would
140,about our
140,just did
140,just wanted
140,wonder what
140,thought of
140,late night
140,this will
140,night with
140,this shit
140,game on
140,don feel
140,should do
140,no worries
139,he had
139,tell your
139,great work
139,things in
139,be part
139,wanna see
139,you take
139,my mother
139,hate you
139,morning and
139,this was
139,out what
139,we like
139,had no
139,use of
139,get more
139,it may
139,thing is
139,got an
138,wonder how
138,alot of
138,today to
138,sure if
138,no you
138,unless you
138,if my
138,in minutes
138,your family
138,and think
138,people have
138,after all
138,it what
138,seen the
138,to kill
138,going back
138,our first
138,the girls
138,since the
138,say you
137,fun and
137,didn even
137,ve heard
137,gonna have
137,show up
137,love ya
137,mad at
137,saturday night
137,where can
137,being in
137,who was
137,are too
137,is you
137,my th
137,on with
137,for now
137,my man
137,two weeks
137,keep you
137,the line
137,is nothing
137,im in
136,my old
136,good work
136,best thing
136,of good
136,but do
136,work to
136,else is
136,all know
136,should get
136,so don
136,happen to
136,put the
136,to believe
136,had fun
136,you already
136,the heart
136,my tweets
136,the ground
135,who came
135,he doesn
135,now in
135,this friday
135,feel free
135,well it
135,love when
135,why don
135,this tweet
135,lol you
135,hear about
135,won the
135,back up
135,to happen
135,did that
135,more time
135,the question
135,people on
135,want the
135,do my
135,what going
135,the latest
135,tell us
135,new orleans
135,meet up
134,and their
134,well you
134,going out
134,and our
134,off your
134,in years
134,re on
134,well as
134,is how
134,we still
134,show you
134,rather than
134,please don
134,said he
134,the girl
134,does the
134,just said
134,today with
134,you use
133,just get
133,know right
133,check your
133,what makes
133,them out
133,best way
133,the event
133,so they
133,me this
133,my work
133,this month
133,it over
133,all who
133,state of
133,the list
133,new music
133,the idea
133,time we
133,tonight with
133,ll just
133,when do
133,your thoughts
133,that show
133,one person
133,just me
133,in seattle
133,closer to
132,getting the
132,not bad
132,las vegas
132,for breakfast
132,that for
132,once again
132,then the
132,don see
132,gonna go
132,anyone who
132,luck with
132,thought was
132,link to
132,last minute
132,are more
132,when someone
132,do some
132,are great
132,never get
132,him in
132,are like
132,so funny
132,could you
132,rt happy
132,me is
132,that but
132,down for
132,telling me
132,up all
132,home to
132,for everyone
131,doing well
131,guy who
131,your tweet
131,feel bad
131,and know
131,loved the
131,one and
131,and one
131,in some
131,it could
131,tonight in
131,out how
131,was pretty
131,be doing
131,rt my
131,days until
131,half of
131,from our
131,made the
131,this sunday
131,the corner
131,already know
131,your not
130,me today
130,finally got
130,ya ll
130,he would
130,for making
130,enjoying the
130,me now
130,twitter account
130,now for
130,you always
130,re right
130,from to
130,catching up
130,to grow
130,goin to
130,picture of
130,if was
130,getting my
130,school and
130,if could
130,and of
130,you only
130,now is
130,th birthday
130,mom is
